PIB,X1,X2,X3
2.904824143,1.015749273,-2.213919439,1
2.904824143,1.320835254,-1.468032588,1
2.904824143,1.124666725,-2.213919439,1
2.904824143,1.159801289,-0.249144319,1
2.904824143,1.596056773,-0.249144319,1
2.904824143,1.733667532,-0.249144319,1
2.904824143,1.525787449,-0.249144319,1
2.904824143,1.26422941,-0.249144319,1
2.904824143,1.366705507,-1.468032588,1
2.904824143,1.299364072,-2.213919439,1
2.904824143,1.408671909,-0.249144319,1
2.904824143,1.070988769,-0.249144319,1
2.904824143,1.30229196,-0.249144319,1
2.904824143,0.801623028,-0.249144319,1
2.904824143,1.156873498,-0.249144319,1
2.904824143,1.36084973,-1.468032588,1
2.904824143,1.101243227,-2.213919439,1
2.904824143,2.042071787,-0.249144319,1
2.904824143,1.884941771,-0.249144319,1
2.904824143,1.524030716,-0.249144319,1
2.904824143,1.596837543,-0.249144319,1
2.904824143,1.656956854,-0.249144319,1
2.904824143,1.659494357,-1.468032588,1
2.904824143,1.117834985,-2.213919439,1
2.904824143,0.967536709,-0.249144319,1
2.904824143,0.694266921,-0.249144319,1
2.904824143,1.085628212,-0.249144319,1
2.904824143,1.440878683,-0.249144319,1
2.904824143,1.642902989,-0.249144319,1
2.904824143,2.150403662,-1.468032588,1
2.904824143,2.527125315,-2.213919439,1
2.904824143,2.735981361,-0.196626745,2
2.904824143,2.03621601,-0.196626745,2
2.904824143,1.519931672,-0.196626745,2
2.904824143,1.119786911,-0.196626745,2
2.904824143,1.079772337,-0.196626745,2
2.904824143,1.215431073,-1.429313749,2
2.904824143,1.348162214,-2.183644602,2
2.904824143,1.177368718,-0.196626745,2
2.904824143,0.980712207,-0.196626745,2
2.904824143,1.591176959,-0.196626745,2
2.904824143,0.917762605,-0.196626745,2
2.904824143,0.844565392,-0.196626745,2
2.904824143,0.607406424,-1.429313749,2
2.904824143,0.655228603,-2.183644602,2
2.904824143,1.380368987,-0.196626745,2
2.904824143,0.898243348,-0.196626745,2
